lemme;upos;freqlemfilms;freqlemlivres
remettre;VER;144,99;202,50
carte;NOM;144,96;111,42
paix;NOM;144,86;103,72
noir;ADJ;144,81;482,23
exactement;ADV;144,62;92,36
drôle;ADJ;144,48;95,07
refuser;VER;143,96;152,77
dès;PRE;143,72;275,07
président;NOM;143,39;79,66
cours;NOM;143,05;176,76
grave;ADJ;142,48;93,78
terminer;VER;142,38;100,00
ciel;NOM;142,32;305,20
partout;ADV;141,94;179,39
âme;NOM;141,59;151,62
patron;NOM;141,53;132,43
amuser;VER;141,41;120,95
celle;PRO:dem;141,28;299,46
visage;NOM;141,23;565,00
intéresser;VER;140,80;117,36
reconnaître;VER;140,73;229,19
rire;VER;140,24;320,54
médecin;NOM;140,19;75,61
rapport;NOM;140,08;130,95
pardonner;VER;139,46;44,59
avis;NOM;139,22;65,14
embrasser;VER;138,97;137,50
retour;NOM;138,94;158,65
simple;ADJ;137,69;148,58
danser;VER;137,36;92,57
ok;ADV;136,50;1,22
exister;VER;136,24;148,18
différent;ADJ;135,80;92,03
souvent;ADV;135,54;286,96
lumière;NOM;134,83;274,26
génial;ADJ;134,47;10,20
libre;ADJ;134,42;167,91
près;PRE;134,13;285,41
dollar;NOM;134,10;16,96
sûrement;ADV;133,67;74,12
pareil;ADJ;133,45;149,66
d'autres;ADJ:ind;133,34;119,73
hôpital;NOM;133,15;54,93
ceci;PRO:dem;133,07;53,78
réussir;VER;131,88;122,16
bizarre;ADJ;131,41;52,23
voix;NOM;130,83;612,70
protéger;VER;130,71;72,23
honneur;NOM;130,69;97,36
tôt;ADV;129,98;126,76
équipe;NOM;129,97;34,32
prévenir;VER;129,28;73,72
cheval;NOM;129,12;179,26
puis;ADV;129,11;272,77
ailleurs;ADV;128,74;346,35
maître;NOM;128,55;151,49
avion;NOM;128,35;78,04
bout;NOM;128,33;398,11
habiter;VER;128,30;112,50
faim;NOM;128,04;75,95
ensuite;ADV;127,92;169,19
l'un;PRO:ind;127,72;208,92
froid;ADJ;127,22;161,69
normal;ADJ;127,15;62,77
pas;NOM;127,06;334,19
déranger;VER;126,95;43,99
reprendre;VER;126,92;340,14
oncle;NOM;126,71;127,70
prix;NOM;126,55;107,50
retard;NOM;126,45;46,62
détruire;VER;126,08;52,36
cadeau;NOM;125,79;50,81
pousser;VER;125,61;288,92
face;NOM;125,32;270,88
gueule;NOM;125,22;109,93
chemin;NOM;125,18;231,42
vivant;ADJ;124,97;92,23
général;NOM;124,83;236,89
bateau;NOM;124,82;82,36
million;NOM;124,70;54,05
sac;NOM;124,60;174,26
impossible;ADJ;124,54;96,01
seconde;NOM;124,54;121,49
découvrir;VER;124,20;198,18
erreur;NOM;124,15;52,09
soleil;NOM;123,34;334,39
voyage;NOM;123,17;140,07
sauter;VER;123,03;134,59
rêver;VER;122,95;128,18
détester;VER;122,87;62,64
clair;ADJ;122,69;156,69
con;NOM;122,62;68,99
faux;ADJ;122,23;109,59
paraître;VER;122,14;448,11
balle;NOM;122,07;94,59
empêcher;VER;121,85;171,28
maintenir;VER;121,32;98,51
cheveu;NOM;121,27;270,68
papier;NOM;120,51;203,11
sujet;NOM;120,42;105,74
supposer;VER;120,31;62,50
tranquille;ADJ;119,69;91,96
épouser;VER;118,78;59,26
blanc;ADJ;118,74;430,54
table;NOM;118,37;379,80
toute;ADJ:ind;118,32;194,26
dix;ADJ:num;118,29;209,86
clé;NOM;118,13;48,58
agent;NOM;117,90;39,26
pouvoir;NOM;117,87;107,91
approcher;VER;117,65;196,15
sens;NOM;117,57;217,50
craindre;VER;117,44;108,31
six;ADJ:num;117,37;156,22
message;NOM;117,11;42,57
crier;VER;116,94;239,73
