lemme;genre;freq
affection;f;31,22
décembre;m;31,22
poème;m;31,22
allusion;f;31,15
motif;m;31,15
plancher;m;31,15
science;f;31,08
mèche;f;31,01
mélange;m;31,01
nourriture;f;31,01
cérémonie;f;30,95
estomac;m;30,95
banque;f;30,88
banquette;f;30,88
cerveau;m;30,88
foyer;m;30,88
outil;m;30,88
appui;m;30,81
bombe;f;30,81
clarté;f;30,68
mille;m;30,68
province;f;30,68
reproche;m;30,68
réaction;f;30,68
janvier;m;30,61
occupation;f;30,61
possibilité;f;30,54
baraque;f;30,47
crayon;m;30,47
mouton;m;30,47
nerf;m;30,47
prénom;m;30,47
ruelle;f;30,47
pêche;f;30,41
ambition;f;30,34
tablier;m;30,34
bâton;m;30,27
instruction;f;30,27
poudre;f;30,27
péché;m;30,27
piège;m;30,20
catastrophe;f;30,14
concert;m;30,14
dégoût;m;30,14
union;f;30,07
paroi;f;30,00
commerce;m;29,93
fierté;f;29,93
incident;m;29,93
boucle;f;29,86
bougie;f;29,86
champagne;m;29,86
minuit;m;29,86
bonhomme;m;29,80
palier;m;29,80
comédie;f;29,73
connerie;f;29,73
progrès;m;29,73
énergie;f;29,66
bataillon;m;29,53
découverte;f;29,53
encre;f;29,53
cabane;f;29,46
dessous;m;29,46
essence;f;29,46
tempe;f;29,46
barre;f;29,39
coffre;m;29,32
jugement;m;29,26
casque;m;29,19
dalle;f;29,19
emploi;m;29,19
patrie;f;29,19
triomphe;m;29,19
profil;m;29,12
sanglot;m;29,12
essentiel;m;29,05
e;m;28,99
four;m;28,99
monnaie;f;28,99
cendre;f;28,85
océan;m;28,78
responsabilité;f;28,72
blé;m;28,65
gaz;m;28,65
réveil;m;28,58
bicyclette;f;28,51
culture;f;28,51
longueur;f;28,45
vélo;m;28,45
bêtise;f;28,38
grandeur;f;28,38
musée;m;28,38
sud;m;28,38
pénombre;f;28,24
étoffe;f;28,24
réunion;f;28,18
demeure;f;28,11
gré;m;28,04
paradis;m;28,04
beurre;m;27,97
degré;m;27,97
centimètre;m;27,84
volume;m;27,84
entretien;m;27,77
ouest;m;27,77
bouquin;m;27,70
flotte;f;27,64
possession;f;27,64
remords;m;27,64
char;m;27,57
poupée;f;27,57
chevelure;f;27,50
clou;m;27,50
habit;m;27,50
canal;m;27,43
légende;f;27,43
abandon;m;27,36
espérance;f;27,36
exercice;m;27,36
gaieté;f;27,36
vivant;m;27,36
comble;m;27,30
gêne;f;27,30
créature;f;27,23
dessus;m;27,23
éducation;f;27,23
examen;m;27,16
indépendance;f;27,16
buisson;m;27,09
extrémité;f;27,09
terreur;f;27,09
voûte;f;27,09
refus;m;27,03
bec;m;26,96
fromage;m;26,96
monstre;m;26,96
marée;f;26,89
pardon;m;26,89
collège;m;26,82
communication;f;26,82
appétit;m;26,76
conduite;f;26,76
hall;m;26,76
ordinaire;m;26,76
choeur;m;26,69
ouverture;f;26,69
panneau;m;26,69
plainte;f;26,69
capitale;f;26,62
cauchemar;m;26,62
pavé;m;26,62
pin;m;26,62
vertige;m;26,62
y;m;26,62
grève;f;26,55
ordure;f;26,55
plaisanterie;f;26,49
programme;m;26,49
administration;f;26,42
fossé;m;26,42
fric;m;26,42
bouffée;f;26,35
crépuscule;m;26,35
autobus;m;26,28
sapin;m;26,28
coton;m;26,22
crête;f;26,22
deuil;m;26,22
matériel;m;26,22
tente;f;26,22
couvent;m;26,15
dommage;m;26,15
sympathie;f;26,15
télé;f;26,15
ténèbres;f;26,15
haie;f;26,08
sacrifice;m;26,08
obstacle;m;26,01
pan;m;26,01
matelas;m;25,95
vaisselle;f;25,95
ascenseur;m;25,88
narine;f;25,81
thomas;m;25,81
ardeur;f;25,74
bond;m;25,74
gris;m;25,74
collection;f;25,68
explosion;f;25,68
nappe;f;25,68
tronche;f;25,68
trouble;m;25,68
panique;f;25,61
pavillon;m;25,61
vierge;f;25,61
bal;m;25,54
cerf;m;25,54
file;f;25,54
régiment;m;25,54
troupeau;m;25,54
whisky;m;25,47
approche;f;25,41
poulet;m;25,34
épaisseur;f;25,34
bassin;m;25,20
blouson;m;25,20
jalousie;f;25,20
revolver;m;25,20
tailleur;m;25,20
épée;f;25,20
bol;m;25,14
coutume;f;25,14
couvert;m;25,14
hésitation;f;25,14
dentelle;f;25,07
ras;m;25,07
révolte;f;25,07
flèche;f;25,00
profit;m;25,00
revers;m;25,00
cigare;m;24,93
détour;m;24,86
méthode;f;24,86
exception;f;24,80
alliance;f;24,73
philosophie;f;24,73
sabot;m;24,66
charbon;m;24,59
outre;f;24,59
ruisseau;m;24,59
confidence;f;24,53
buste;m;24,46
complicité;f;24,46
courrier;m;24,46
divan;m;24,46
fontaine;f;24,46
lundi;m;24,46
étendue;f;24,46
bagage;m;24,39
extérieur;m;24,39
grenier;m;24,39
chaussée;f;24,32
humanité;f;24,32
liste;f;24,32
procès;m;24,32
télévision;f;24,32
noeud;m;24,26
plaie;f;24,26
précision;f;24,26
ride;f;24,26
salade;f;24,26
station;f;24,26
teint;m;24,26
ben;m;24,19
identité;f;24,19
ironie;f;24,19
kilo;m;24,19
rien;m;24,19
construction;f;24,12
garage;m;24,12
intimité;f;24,12
scandale;m;24,05
seau;m;24,05
stupeur;f;24,05
cité;f;23,99
flaque;f;23,99
néant;m;23,99
produit;m;23,99
banlieue;f;23,85
douche;f;23,85
perle;f;23,85
tournée;f;23,85
accès;m;23,78
économie;f;23,78
désastre;m;23,72
feuillage;m;23,72
sergent;m;23,65
étape;f;23,65
mâchoire;f;23,58
soupçon;m;23,58
chêne;m;23,51
excuse;f;23,51
exécution;f;23,51
influence;f;23,51
jeudi;m;23,51
élégance;f;23,51
légume;m;23,45
disparition;f;23,38
roche;f;23,38
écran;m;23,31
descente;f;23,24
demi-heure;f;23,18
ruban;m;23,18
dimension;f;23,11
signal;m;23,11
urgence;f;23,11
haleine;f;23,04
jus;m;23,04
fillette;f;22,97
portail;m;22,97
barrière;f;22,91
diamant;m;22,91
planète;f;22,91
poubelle;f;22,91
renseignement;m;22,91
casserole;f;22,84
chaussette;f;22,84
vocation;f;22,84
commun;m;22,77
reconnaissance;f;22,77
blague;f;22,70
coussin;m;22,70
insecte;m;22,70
issue;f;22,70
plomb;m;22,64
majesté;f;22,57
singe;m;22,57
barbier;m;22,50
chantier;m;22,50
février;m;22,50
lenteur;f;22,50
ressource;f;22,50
réputation;f;22,50
incendie;m;22,43
parquet;m;22,43
état-major;m;22,43
bague;f;22,36
loge;f;22,36
adjudant;m;22,23
bonsoir;m;22,23
excès;m;22,23
section;f;22,23
établissement;m;22,23
cercueil;m;22,16
cheville;f;22,16
richesse;f;22,16
tige;f;22,16
transport;m;22,16
couvercle;m;22,09
faubourg;m;22,09
studio;m;22,09
véhicule;m;22,09
conférence;f;22,03
discipline;f;22,03
grotte;f;21,96
immobilité;f;21,96
république;f;21,96
semelle;f;21,96
bordel;m;21,89
poésie;f;21,89
déclaration;f;21,82
défaite;f;21,82
tranche;f;21,82
pression;f;21,76
venue;f;21,76
cent;m;21,69
frisson;m;21,69
puits;m;21,69
simplicité;f;21,69
congé;m;21,62
aveu;m;21,55
demain;m;21,55
poumon;m;21,55
sagesse;f;21,55
morale;f;21,49
rupture;f;21,49
ballon;m;21,42
club;m;21,42
fourrure;f;21,42
agitation;f;21,35
avant;m;21,35
buffet;m;21,35
passe;f;21,35
sieur;m;21,35
cathédrale;f;21,28
enquête;f;21,28
songe;m;21,28
sursaut;m;21,28
voeu;m;21,28
discrétion;f;21,22
